# id;truck;length;width;weight;
145;128;3;1;1;
146;101;3;3;1;
147;176;8;7;1;
148;91;3;3;1;
149;141;3;2;1;
150;182;5;1;1;
151;140;5;2;1;
152;163;3;2;1;
153;172;7;4;1;
154;125;11;2;1;
155;113;6;5;1;
156;27;11;5;1;
157;108;3;3;1;
158;183;3;2;79;
159;111;1;1;1;
160;96;9;8;1;
161;156;10;9;1;
162;45;2;2;206;
163;137;1;1;1;
164;169;10;10;1;
165;31;9;5;1;
166;185;9;3;1;
167;159;2;1;1;
168;185;1;1;1;
169;143;6;1;1;
170;160;10;8;1;
171;51;1;1;1;
172;54;2;1;1;
173;18;8;7;1;
174;24;1;1;1;
175;45;1;1;1;
176;110;3;2;1;
177;198;10;8;1;
178;100;9;5;1;
179;73;10;2;1;
180;56;1;1;1;
181;58;6;2;1;
182;166;3;1;1;
183;113;3;1;1;
184;199;7;4;1;
185;136;9;6;1;
186;182;1;1;1;
187;17;1;1;1;
188;104;10;10;1;
189;186;2;1;1;
190;89;8;7;1;
191;173;3;1;1;
192;94;3;3;1;
193;178;3;2;1;
194;16;8;1;1;
195;105;2;1;1;
196;115;2;1;1;
197;3;10;8;1;
198;191;11;6;1;
199;165;1;1;1;
200;66;5;2;1;
201;142;11;8;1;
202;175;1;1;1;
203;55;3;2;1;
204;172;3;3;1;
205;34;9;6;1;
206;105;10;10;1;
207;143;10;8;1;
208;127;10;8;1;
209;94;7;5;1;
210;139;9;5;1;
211;60;1;1;1;
212;162;3;2;1;
213;150;3;2;1;
214;136;7;4;1;
215;138;3;1;1;
216;59;11;4;1;
217;127;1;1;1;
218;188;3;1;1;
219;175;3;2;1;
220;117;8;6;1;
221;86;2;2;1;
222;99;9;8;1;
223;104;2;1;1;
224;13;2;1;1;
225;166;2;1;1;
226;66;3;2;1;
227;49;8;4;1;
228;199;1;1;1;
229;157;9;5;1;
230;118;7;1;1;
231;151;8;4;1;
232;32;6;3;1;
233;71;2;1;1;
234;188;6;6;1;
235;198;5;1;1;
236;152;10;10;1;
237;116;10;10;1;
238;32;1;1;1;
239;187;3;1;1;
240;159;4;2;90;
241;156;1;1;1;
242;168;11;2;1;
243;126;3;1;1;
244;96;9;6;1;
245;16;9;1;1;
246;97;11;8;1;
247;168;3;3;392;
248;177;6;5;1;
249;62;2;2;1;
250;10;9;7;1;
251;52;3;2;1;
252;31;1;1;1;
253;38;3;3;1;
254;101;4;1;1;
255;90;5;1;1;
256;163;3;2;1;
257;121;3;1;1;
258;57;3;3;1;
259;164;9;8;1;
260;92;5;1;1;
261;63;3;2;1;
262;16;6;1;1;
263;120;3;2;1;
264;196;2;1;195;
265;144;8;8;1;
266;65;3;1;1;
267;80;3;1;1;
268;60;1;1;1;
269;131;2;2;1;
270;138;1;1;1;
271;63;11;8;1;
272;20;2;1;1;
273;102;1;1;352;
274;138;1;1;1;
275;68;5;5;1;
276;168;2;2;1;
277;92;2;2;1;
278;22;1;1;1;
279;106;1;1;1;
280;133;3;2;354;
281;171;1;1;1;
282;165;5;2;1;
283;100;8;3;1;
284;124;3;2;1;
285;128;11;8;1;
286;157;10;2;1;
287;72;3;2;1;
288;146;2;1;1;
289;14;3;1;1;
290;174;6;5;1;
291;186;1;1;1;
292;15;2;1;1;
293;62;1;1;1;
294;9;8;6;1;
295;151;8;7;1;
296;112;3;1;1;
297;34;10;10;1;
298;22;4;1;1;
299;21;2;1;1;
300;176;1;1;1;
301;30;9;5;1;
302;181;3;2;361;
303;149;5;3;110;
304;77;1;1;1;
305;88;5;2;1;
306;134;2;1;1;
307;122;2;1;1;
308;53;2;1;1;
309;126;3;1;89;
310;35;2;1;1;
311;57;8;5;1;
312;25;1;1;1;
313;184;3;3;1;
314;160;11;8;1;
315;132;8;6;1;
316;92;2;1;1;
317;45;7;5;1;
318;57;2;2;1;
319;166;3;3;1;
320;178;2;1;1;
321;21;3;1;1;
322;187;7;1;1;
323;197;2;1;1;
324;1;1;1;1;
325;57;2;2;1;
326;72;2;2;1;
327;161;6;2;1;
328;173;1;1;1;
329;174;3;2;1;
330;55;3;1;1;
331;62;5;3;1;
332;40;3;3;1;
333;139;3;1;1;
334;45;2;2;1;
335;109;2;2;1;
336;20;3;3;1;
337;103;3;2;1;
338;92;8;3;7;
339;82;1;1;1;
340;186;3;3;1;
341;124;2;2;1;
342;79;6;5;1;
343;29;3;3;1;
344;107;3;2;1;
345;168;3;1;1;
346;195;11;6;1;
347;53;7;2;31;
348;109;7;1;1;
349;114;2;1;1;
350;35;8;3;1;
351;178;3;2;1;
352;120;3;1;1;
353;162;1;1;1;
354;61;6;5;1;
355;36;3;1;1;
356;75;6;3;1;
357;121;3;3;1;
358;82;2;1;1;
359;105;6;4;1;
360;190;3;3;1;
361;159;1;1;1;
362;103;3;2;1;
363;65;3;3;1;
364;119;2;1;1;
365;151;11;8;171;
366;24;11;5;1;
367;103;9;5;1;
368;149;1;1;1;
369;157;11;8;1;
370;101;1;1;1;
371;141;2;1;1;
372;181;9;8;1;
373;167;1;1;1;
374;178;3;2;1;
375;110;3;3;1;
376;139;2;1;1;
377;193;3;2;1;
378;161;1;1;1;
379;163;3;3;1;
380;1;3;2;1;
381;144;3;2;1;
382;63;3;2;1;
383;16;1;1;1;
384;12;3;1;1;
385;107;2;2;1;
386;17;3;3;1;
387;140;2;1;1;
388;169;10;3;1;
389;22;7;3;1;
390;74;3;2;1;
391;17;1;1;1;
392;151;2;2;1;
393;69;6;4;1;
394;42;7;4;1;
395;36;3;2;1;
396;28;7;5;1;
397;106;4;2;1;
398;105;2;2;1;
399;183;3;2;1;
400;148;3;3;1;
401;60;2;1;1;
402;98;4;4;1;
403;111;1;1;1;
404;135;11;8;1;
405;127;3;2;1;
406;147;11;1;1;
407;134;2;1;1;
408;198;9;3;1;
409;97;2;1;1;
410;110;8;4;1;
411;154;1;1;1;
412;108;2;1;1;
413;41;3;2;1;
414;66;5;3;1;
415;144;3;2;1;
416;75;3;2;1;
417;103;3;2;1;
418;144;7;4;1;
419;174;8;2;1;
420;27;3;1;1;
421;82;1;1;1;
422;129;1;1;1;
423;184;2;1;1;
424;105;11;4;1;
425;185;11;8;1;
426;85;2;2;1;
427;192;3;2;1;
428;134;1;1;1;
429;52;3;2;1;
430;177;3;3;1;
431;94;1;1;1;
432;189;2;1;1;
433;23;6;2;1;
434;44;9;1;1;
435;49;10;2;1;
436;12;9;6;1;
437;30;3;1;1;
438;47;2;1;1;
439;60;3;3;44;
440;111;1;1;1;
441;152;10;10;1;
442;92;2;1;1;
443;63;2;1;232;
444;65;3;1;1;
445;162;1;1;1;
446;122;2;2;1;
447;23;8;3;1;
448;14;3;2;1;
449;131;3;2;143;
450;95;6;5;1;
451;193;3;2;1;
452;64;4;2;1;
453;138;5;1;365;
454;20;3;1;1;
455;127;3;2;1;
456;155;3;1;1;
457;83;11;4;1;
458;90;11;8;1;
459;179;3;3;1;
460;104;11;8;1;
461;195;3;2;1;
462;76;2;2;1;
463;8;5;3;1;
464;26;1;1;1;
465;6;10;3;1;
466;58;1;1;1;
467;119;11;3;1;
468;49;2;1;1;
469;31;8;5;1;
470;45;3;2;1;
471;134;7;5;1;
472;111;3;1;258;
473;130;10;4;1;
474;13;1;1;1;
475;179;8;4;1;
476;98;3;1;1;
477;45;6;5;1;
478;97;7;4;1;
479;4;9;3;1;
480;159;3;3;133;
481;132;4;3;1;
482;34;3;2;1;
483;45;3;1;1;
484;171;1;1;1;
485;18;3;2;1;
486;28;10;5;1;
487;132;3;3;1;
488;59;3;1;1;
489;171;5;1;1;
490;117;3;1;1;
491;29;3;2;1;
492;115;3;3;1;
493;37;7;3;1;
494;47;2;1;1;
495;29;8;2;1;
496;55;2;1;1;
497;99;3;1;1;
498;89;2;2;1;
499;39;9;1;1;
500;157;2;2;1;
501;51;3;3;1;
502;78;1;1;1;
503;120;1;1;1;
504;74;10;9;1;
505;134;3;2;1;
506;23;3;2;1;
507;149;9;1;1;
508;191;2;1;1;
509;168;3;1;1;
510;128;11;3;1;
511;83;2;1;1;
512;98;1;1;1;
513;176;3;2;1;
514;106;1;1;1;
515;180;9;1;1;
516;169;8;4;1;
517;17;1;1;1;
518;200;6;4;1;
519;6;9;1;1;
520;94;11;8;369;
521;16;3;1;1;
522;2;3;1;1;
523;79;3;2;1;
524;65;8;6;1;
525;67;8;2;1;
526;15;2;1;1;
527;55;3;2;1;
528;191;3;1;1;
529;63;9;2;1;
530;110;11;4;1;
531;9;3;2;1;
532;167;1;1;1;
533;183;9;8;1;
534;27;2;1;1;
535;63;3;2;1;
536;159;6;5;1;
537;65;2;1;1;
538;141;3;1;1;
539;142;10;8;1;
540;23;3;1;1;
541;68;2;1;1;
542;75;3;3;1;
543;186;3;2;1;
544;120;3;3;1;
545;39;3;1;1;
546;182;11;7;1;
547;99;4;2;1;
548;142;2;2;1;
549;184;3;3;1;
550;26;8;6;1;
551;154;3;3;1;
552;24;8;5;1;
553;71;1;1;384;
554;37;7;2;1;
555;71;3;1;1;
556;22;2;2;1;
557;6;1;1;1;
558;92;5;3;1;
559;19;3;3;1;
560;166;3;1;1;
561;98;3;1;1;
562;126;8;8;1;
563;113;3;3;1;
564;98;9;4;1;
565;31;1;1;1;
566;25;11;8;1;
567;182;1;1;1;
568;70;8;1;1;
569;49;11;4;1;
570;110;3;2;1;
571;198;2;1;1;
572;91;7;3;1;
573;30;3;2;1;
574;101;3;2;1;
575;131;7;1;31;
576;121;2;1;1;
577;66;5;5;1;
578;181;3;2;1;
579;35;2;2;1;
580;80;1;1;1;
581;136;3;2;1;
582;68;7;5;1;
583;60;3;3;1;
584;45;7;5;1;
585;47;2;1;1;
586;141;2;1;1;
587;193;9;2;1;
588;123;10;5;1;
589;14;2;1;1;
590;152;8;1;70;
591;172;2;1;1;
592;102;3;2;1;
593;194;2;2;1;
594;49;6;1;1;
595;57;8;2;1;
596;79;3;1;1;
597;60;3;1;1;
598;130;7;3;49;
599;81;10;6;1;
600;191;10;10;1;
601;104;3;3;1;
602;60;3;2;1;
603;19;1;1;1;
604;17;3;3;1;
605;115;3;2;1;
606;49;9;3;1;
607;2;3;2;1;
608;127;4;2;1;
609;124;7;1;1;
610;105;3;2;1;
611;143;3;2;1;
612;165;8;7;1;
613;145;10;10;1;
614;29;2;1;1;
615;72;3;1;1;
616;160;1;1;1;
617;14;3;2;1;
618;91;1;1;1;
619;103;3;2;1;
620;169;2;2;1;
621;21;1;1;329;
622;9;3;2;1;
623;111;1;1;1;
624;177;2;1;1;
625;200;1;1;1;
626;179;3;2;1;
627;156;6;4;1;
628;175;3;1;1;
629;21;1;1;1;
630;29;5;5;1;
631;15;1;1;1;
632;180;3;2;1;
633;18;1;1;1;
634;165;10;10;1;
635;169;1;1;1;
636;9;2;1;1;
637;108;2;1;1;
638;145;3;2;1;
639;21;3;2;1;
640;91;2;1;277;
641;165;3;1;1;
642;43;1;1;1;
643;23;2;1;1;
644;85;8;6;1;
645;83;3;3;1;
646;91;2;1;1;
647;173;5;4;1;
648;60;2;1;1;
649;54;2;1;1;
650;71;5;5;1;
651;79;8;7;1;
652;87;3;1;1;
653;60;4;4;1;
654;98;7;2;1;
655;81;2;1;1;
656;141;8;1;1;
657;135;2;2;1;
658;193;3;1;102;
659;71;1;1;1;
660;119;5;4;1;
661;184;11;2;1;
662;39;3;2;1;
663;161;1;1;1;
664;174;10;10;1;
665;104;11;4;1;
666;90;6;6;1;
667;166;2;1;1;
668;10;2;2;1;
669;166;7;1;1;
670;11;10;8;1;
671;186;2;1;1;
672;63;2;1;1;
673;151;6;2;1;
674;108;1;1;1;
675;163;3;1;1;
676;141;1;1;1;
677;155;10;8;1;
678;139;3;1;1;
679;132;7;3;1;
680;113;1;1;1;
681;26;11;6;1;
682;114;2;2;1;
683;109;3;2;1;
684;127;9;4;1;
685;8;8;8;1;
686;19;2;1;1;
687;97;1;1;1;
688;22;10;10;1;
689;53;3;2;1;
690;14;2;1;1;
691;24;2;1;1;
692;172;3;2;1;
693;2;1;1;243;
694;121;4;1;1;
695;123;3;2;1;
696;35;3;2;1;
697;43;10;8;1;
698;51;9;8;1;
699;131;1;1;1;
700;188;6;4;1;
701;149;11;8;1;
702;45;1;1;1;
703;178;3;1;1;
704;178;2;1;1;
705;143;2;1;1;
706;142;10;10;1;
707;24;7;2;1;
708;32;10;8;1;
709;196;4;2;1;
710;77;7;2;1;
711;94;3;1;1;
712;81;3;1;1;
713;167;1;1;1;
714;200;4;4;1;
715;173;3;2;1;
716;138;8;3;1;
717;146;6;3;1;
718;51;2;1;1;
719;121;2;1;1;
720;158;10;8;1;
721;119;2;1;1;
722;42;9;4;1;
723;131;2;1;96;
724;149;3;1;1;
725;77;3;2;1;
726;179;1;1;1;
727;114;9;5;1;
728;7;3;2;1;
729;174;7;1;1;
730;151;8;4;1;
731;176;4;1;1;
732;4;11;4;1;
733;97;3;3;1;
734;55;8;2;1;
735;196;8;2;1;
736;53;10;10;1;
737;5;10;10;1;
738;64;1;1;1;
739;178;1;1;1;
740;54;8;5;1;
741;131;1;1;1;
742;139;7;4;1;
743;121;2;2;1;
744;48;10;9;1;
745;119;3;2;1;
746;151;5;1;1;
747;130;3;1;1;
748;182;11;5;340;
749;134;2;1;1;
750;153;2;2;1;
751;43;2;1;1;
752;42;3;1;1;
753;28;1;1;1;
754;52;5;4;1;
755;147;9;4;1;
756;83;2;2;1;
757;126;3;2;1;
758;5;3;1;1;
759;148;7;7;1;
760;99;9;3;1;
761;152;1;1;1;
762;24;10;2;1;
763;164;1;1;1;
764;80;2;1;1;
765;15;6;3;1;
766;82;2;2;1;
767;191;2;2;1;
768;196;1;1;1;
769;156;3;2;1;
770;154;3;3;1;
771;97;11;8;1;
772;127;2;2;1;
773;98;1;1;1;
774;85;1;1;1;
775;166;6;1;1;
776;152;2;1;1;
777;21;3;3;1;
778;141;1;1;1;
779;126;2;1;1;
780;39;3;1;1;
781;19;1;1;1;
782;186;10;7;1;
783;84;9;6;1;
784;193;2;1;1;
785;193;10;8;1;
786;112;4;3;1;
787;152;3;3;1;
788;43;3;1;1;
789;24;2;1;1;
790;45;4;3;1;
791;43;1;1;1;
792;171;3;1;1;
793;173;1;1;1;
794;143;8;6;1;
795;95;9;1;1;
796;75;2;1;1;
797;128;10;10;1;
798;152;11;3;1;
799;136;3;2;1;
800;97;1;1;1;
801;6;5;1;1;
802;188;3;2;1;
803;156;8;2;1;
804;196;3;2;243;
805;64;8;4;1;
806;188;1;1;1;
807;76;3;2;1;
808;131;3;1;1;
809;149;2;1;38;
810;169;1;1;1;
811;198;6;1;1;
812;132;1;1;1;
813;62;3;3;1;
814;105;10;8;1;
815;70;7;1;1;
816;195;3;1;1;
817;183;9;5;1;
818;60;2;1;1;
819;90;1;1;1;
820;60;1;1;1;
821;33;1;1;1;
822;178;5;3;1;
823;107;2;1;1;
824;33;1;1;1;
825;65;2;1;256;
826;140;2;2;1;
827;85;10;5;1;
828;9;1;1;1;
829;179;3;1;1;
830;76;3;2;1;
831;120;4;2;1;
832;114;3;2;1;
833;140;3;2;1;
834;112;3;1;1;
835;166;2;1;1;
836;3;3;2;1;
837;186;3;2;1;
838;130;9;2;1;
839;199;1;1;1;
840;22;2;2;1;
841;11;3;2;1;
842;58;7;2;1;
843;154;2;1;1;
844;82;3;1;1;
845;20;2;1;1;
846;126;11;4;1;
847;181;8;7;1;
848;84;10;6;66;
849;75;2;2;1;
850;11;5;3;1;
851;172;1;1;1;
852;194;9;8;1;
853;83;1;1;1;
854;120;5;1;1;
855;1;3;2;1;
856;89;10;2;1;
857;84;3;2;1;
858;53;3;3;1;
859;116;10;6;1;
860;183;8;2;1;
861;86;1;1;1;
862;80;2;1;1;
863;144;2;1;1;
864;114;3;2;1;
865;77;11;8;1;
866;41;6;3;1;
867;178;7;5;1;
868;59;1;1;1;
869;174;11;8;1;
870;38;1;1;1;
871;18;3;1;1;
872;152;4;1;1;
873;197;3;3;1;
874;75;3;2;1;
875;78;3;2;1;
876;86;3;1;1;
877;74;2;2;1;
878;93;3;1;1;
879;184;2;1;1;
880;52;3;1;1;
881;2;3;2;1;
882;1;3;2;1;
883;2;3;1;1;
884;35;2;2;1;
885;7;2;2;1;
886;7;1;1;1;
887;143;3;3;1;
888;175;6;3;1;
889;108;2;1;1;
890;91;2;2;1;
891;145;1;1;1;
892;104;3;2;19;
893;47;9;4;1;
894;158;6;2;1;
895;96;3;2;1;
896;24;3;2;1;
897;128;9;3;1;
898;165;2;1;1;
899;6;2;1;307;
900;36;3;2;1;
901;43;1;1;1;
902;101;8;7;1;
903;141;1;1;1;
904;101;10;8;1;
905;82;3;2;1;
906;51;7;2;1;
907;84;3;2;1;
908;125;4;2;1;
909;46;1;1;1;
910;23;2;1;1;
911;26;1;1;1;
912;98;3;3;1;
913;37;3;1;1;
914;23;7;5;1;
915;172;2;1;1;
916;120;3;3;1;
917;182;2;1;1;
918;178;5;4;1;
919;109;8;5;1;
920;133;2;1;1;
921;78;1;1;1;
922;126;1;1;1;
923;184;3;3;1;
924;33;6;1;1;
925;50;7;3;1;
926;61;2;1;1;
927;182;1;1;1;
928;171;1;1;1;
929;171;3;2;1;
930;100;1;1;1;
931;103;1;1;135;
932;172;3;3;1;
933;98;5;3;1;
934;108;7;1;1;
935;45;4;3;1;
936;116;7;5;1;
937;174;3;2;1;
938;187;2;2;1;
939;75;1;1;1;
940;121;3;2;1;
941;110;10;10;1;
942;55;3;1;1;
943;40;2;1;1;
944;181;2;1;1;
945;77;1;1;1;
946;72;3;1;1;
947;65;3;3;1;
948;88;3;2;1;
949;187;6;6;1;
950;76;7;7;1;
951;130;1;1;1;
952;43;6;3;1;
953;107;7;3;1;
954;179;3;2;1;
955;81;2;2;1;
956;79;1;1;1;
957;195;7;1;1;
958;194;11;8;1;
959;45;1;1;1;
960;105;10;8;1;
961;93;3;1;1;
962;53;3;3;1;
963;78;8;3;1;
964;140;1;1;1;
965;119;11;5;1;
966;141;1;1;1;
967;110;6;2;1;
968;1;1;1;1;
969;134;5;4;1;
970;13;1;1;1;
971;167;7;6;1;
972;196;3;1;1;
973;138;1;1;1;
974;4;1;1;1;
975;186;8;2;1;
976;103;2;1;1;
977;62;7;2;1;
978;200;8;1;1;
979;49;7;5;1;
980;198;2;2;1;
981;105;6;1;1;
982;39;3;1;1;
983;49;1;1;1;
984;158;1;1;1;
985;66;2;1;356;
986;159;6;2;1;
987;178;3;1;1;
988;81;2;2;1;
989;120;8;6;1;
990;34;3;2;388;
991;125;2;1;1;
992;166;3;3;1;
993;156;6;3;1;
994;40;3;1;244;
995;10;6;5;1;
996;87;2;1;1;
997;46;2;1;1;
998;138;3;3;1;
999;177;10;7;1;
1000;188;2;1;1;
1001;183;2;1;1;
1002;137;1;1;1;
1003;140;1;1;1;
1004;49;11;5;1;
1005;99;2;1;1;
1006;172;3;2;366;
1007;57;2;1;1;
1008;54;3;2;1;
1009;198;2;2;1;
1010;192;11;1;1;
1011;150;3;1;1;
1012;98;1;1;1;
1013;106;3;2;1;
1014;6;3;2;1;
1015;148;8;1;1;
1016;95;8;6;1;
1017;79;1;1;1;
1018;19;7;6;1;
1019;162;9;4;669;
1020;49;10;8;1;
1021;102;3;2;1;
1022;143;2;1;1;
1023;171;3;2;332;
1024;196;9;1;258;
1025;20;4;2;1;
1026;92;3;1;1;
1027;180;5;3;1;
1028;140;3;2;1;
1029;89;8;4;382;
1030;12;7;3;1;
1031;100;5;1;1;
1032;76;1;1;1;
1033;114;11;7;1;
1034;79;3;2;1;
1035;133;1;1;1;
1036;68;2;1;1;
1037;116;3;2;1;
1038;4;3;2;1;
1039;106;11;8;1;
1040;135;3;3;1;
1041;146;3;3;148;
1042;82;2;1;1;
1043;35;7;3;1;
1044;145;3;3;1;
1045;169;3;1;1;
1046;31;8;3;1;
1047;162;10;6;1;
1048;92;3;3;1;
1049;182;3;1;1;
1050;192;8;3;174;
1051;61;1;1;283;
1052;5;3;1;1;
1053;128;1;1;1;
1054;49;3;1;1;
1055;169;3;1;1;
1056;176;2;2;1;
1057;71;1;1;1;
1058;198;8;2;1;
1059;169;3;2;1;
1060;196;3;3;1;
1061;20;2;2;1;
1062;136;7;6;1;
1063;54;3;3;1;
1064;19;8;3;252;
1065;139;1;1;1;
1066;20;11;8;1;
1067;146;3;1;1;
1068;66;6;2;328;
1069;190;4;1;1;
1070;77;2;1;1;
1071;85;3;2;1;
1072;9;5;3;1;
1073;189;3;2;1;
1074;54;3;2;1;
1075;103;10;5;1;
1076;182;2;1;1;
1077;149;10;2;1;
1078;28;3;2;1;
1079;35;2;1;1;
1080;165;1;1;1;
1081;143;2;1;1;
1082;132;7;3;1;
1083;35;3;2;1;
1084;153;4;4;1;
1085;68;2;1;1;
1086;92;2;1;1;
1087;15;6;1;1;
1088;15;4;2;1;
1089;9;3;2;1;
1090;157;2;2;1;
1091;61;2;1;1;
1092;180;8;4;1;
1093;101;3;1;1;
1094;21;3;2;1;
1095;54;5;1;1;
1096;137;3;2;1;
1097;6;3;1;1;
1098;163;10;8;1;
1099;135;10;6;1;
1100;175;10;10;1;
1101;131;3;1;1;
1102;73;3;1;1;
1103;104;1;1;1;
1104;143;2;1;1;
1105;40;2;1;1;
1106;44;9;2;1;
1107;139;1;1;1;
1108;108;9;1;1;
1109;73;9;1;1;
1110;49;2;1;1;
1111;143;8;1;1;
1112;71;2;1;1;
1113;180;10;10;1;
1114;1;3;3;1;
1115;44;2;1;1;
1116;35;1;1;1;
1117;160;1;1;1;
1118;82;3;2;1;
1119;177;2;1;1;
1120;25;2;1;1;
1121;60;1;1;1;
1122;6;2;1;1;
1123;197;3;3;1;
1124;186;2;1;1;
1125;14;2;1;1;
1126;109;3;3;1;
1127;56;7;6;1;
1128;124;3;1;1;
1129;120;3;2;1;
1130;45;4;2;1;
1131;53;1;1;1;
1132;46;2;1;1;
1133;106;1;1;1;
1134;136;10;10;1;
1135;125;1;1;1;
1136;113;2;1;1;
1137;125;2;2;1;
1138;132;8;3;1;
1139;64;3;3;1;
1140;91;3;3;1;
1141;26;2;1;1;
1142;53;1;1;1;
1143;166;3;2;1;
1144;83;8;7;1;
1145;124;3;1;1;
1146;187;3;2;1;
1147;29;6;1;1;
1148;179;3;1;1;
1149;58;3;1;1;
1150;142;8;1;1;
1151;134;9;2;1;
1152;104;1;1;1;
1153;93;10;3;1;
1154;127;4;2;1;
1155;71;8;8;1;
1156;140;6;6;1;
1157;125;2;1;1;
1158;184;2;1;231;
1159;195;1;1;1;
1160;90;8;1;1;
1161;149;9;2;1;
1162;73;2;1;55;
1163;9;1;1;1;
1164;169;10;10;1;
1165;185;5;4;1;
1166;186;6;2;1;
1167;199;3;1;1;
1168;154;3;3;1;
1169;172;8;4;1;
1170;127;10;8;1;
1171;60;3;2;1;
1172;173;3;2;1;
1173;43;8;1;1;
1174;196;1;1;1;
1175;110;3;1;1;
1176;72;2;2;1;
1177;135;11;8;1;
1178;109;10;6;1;
1179;180;11;1;1;
1180;1;1;1;1;
1181;12;9;5;1;
1182;145;1;1;1;
1183;61;3;3;1;
1184;149;9;5;1;
1185;173;8;3;1;
1186;17;3;2;1;
1187;38;1;1;1;
1188;79;10;10;1;
1189;141;1;1;1;
1190;47;9;9;1;
1191;68;3;1;1;
1192;161;2;1;1;
1193;140;3;2;1;
1194;35;2;1;1;
1195;182;2;2;1;
1196;142;2;1;1;
1197;136;11;8;1;
1198;13;8;1;1;
1199;82;1;1;1;
1200;153;11;1;1;
1201;98;11;8;1;
1202;34;1;1;1;
1203;155;3;2;1;
1204;76;3;2;1;
1205;52;11;2;1;
1206;154;10;10;1;
1207;41;10;4;1;
1208;53;11;8;1;
1209;26;6;1;1;
1210;51;7;6;1;
1211;184;1;1;1;
1212;162;3;1;1;
1213;125;1;1;1;
1214;64;5;2;1;
1215;170;3;1;1;
1216;99;11;5;1;
1217;164;2;2;1;
1218;124;2;1;1;
1219;168;3;2;1;
1220;189;6;6;1;
1221;53;3;2;1;
1222;180;9;6;1;
1223;199;3;2;1;
1224;168;3;1;1;
1225;175;2;1;1;
1226;96;3;3;1;
1227;141;10;9;1;
1228;73;3;1;1;
1229;73;9;6;1;
1230;30;8;4;1;
1231;155;10;1;1;
1232;159;3;2;1;
1233;96;3;2;1;
1234;77;6;5;1;
1235;53;10;6;1;
1236;83;10;10;1;
1237;9;10;10;1;
1238;92;1;1;1;
1239;119;3;1;1;
1240;58;8;4;252;
1241;106;1;1;1;
1242;86;7;3;1;
1243;182;3;3;1;
1244;122;9;6;1;
1245;100;9;2;1;
1246;102;3;2;1;
1247;160;3;1;134;
